scenario,region,year,tcsi
ssp126,South,2071,0.702
ssp126,South,2072,0.6908
ssp126,South,2073,0.7236
ssp126,South,2074,0.6912
ssp126,South,2075,0.7226
ssp126,South,2076,0.7122
ssp126,South,2077,0.7204
ssp126,South,2078,0.7211
ssp126,South,2079,0.6898
ssp126,South,2080,0.699
ssp126,South,2081,0.7118
ssp126,South,2082,0.7088
ssp126,South,2083,0.7066
ssp126,South,2084,0.6891
ssp126,South,2085,0.7069
ssp126,South,2086,0.7001
ssp126,South,2087,0.6956
ssp126,South,2088,0.7021
ssp126,South,2089,0.7069
ssp126,South,2090,0.7122
ssp126,South,2091,0.699
ssp126,South,2092,0.7095
ssp126,South,2093,0.7111
ssp126,South,2094,0.7157
ssp126,South,2095,0.7108
ssp126,South,2096,0.6995
ssp126,South,2097,0.7029
ssp126,South,2098,0.7109
ssp126,South,2099,0.7003
ssp126,South,2100,0.6957
ssp126,East Coast,2015,0.9406
ssp126,East Coast,2016,0.955
ssp126,East Coast,2017,0.9342
ssp126,East Coast,2018,0.9664
ssp126,East Coast,2019,0.981
ssp126,East Coast,2020,0.9455
ssp126,East Coast,2021,0.937
ssp126,East Coast,2022,0.9657
ssp126,East Coast,2023,0.944
ssp126,East Coast,2024,0.945
ssp126,East Coast,2025,0.9655
ssp126,East Coast,2026,0.9339
ssp126,East Coast,2027,0.9484
ssp126,East Coast,2028,0.956
ssp126,East Coast,2029,0.9366
ssp126,East Coast,2030,0.9646
ssp126,East Coast,2031,0.9621
ssp126,East Coast,2032,0.9504
ssp126,East Coast,2033,0.9493
ssp126,East Coast,2034,0.9512
ssp126,East Coast,2035,0.9286
ssp126,East Coast,2036,0.9414
ssp126,East Coast,2037,0.9851
ssp126,East Coast,2038,0.9483
ssp126,East Coast,2039,0.974
ssp126,East Coast,2040,0.9717
ssp126,East Coast,2041,0.9498
ssp126,East Coast,2042,0.9413
ssp126,East Coast,2043,0.9958
ssp126,East Coast,2044,0.9893
ssp126,East Coast,2045,0.9534
ssp126,East Coast,2046,0.9839
ssp126,East Coast,2047,0.9711
ssp126,East Coast,2048,0.9761
ssp126,East Coast,2049,0.9335
ssp126,East Coast,2050,0.9434
ssp126,East Coast,2051,0.9225
ssp126,East Coast,2052,0.9294
ssp126,East Coast,2053,0.945
ssp126,East Coast,2054,0.9394
ssp126,East Coast,2055,0.9695
ssp126,East Coast,2056,0.9733
ssp126,East Coast,2057,0.9815
ssp126,East Coast,2058,0.9733
ssp126,East Coast,2059,0.9368
ssp126,East Coast,2060,0.9578
ssp126,East Coast,2061,0.9637
ssp126,East Coast,2062,0.9899
ssp126,East Coast,2063,0.9682
ssp126,East Coast,2064,0.9914
ssp126,East Coast,2065,0.9513
ssp126,East Coast,2066,0.9663
ssp126,East Coast,2067,0.9672
ssp126,East Coast,2068,0.9702
ssp126,East Coast,2069,0.9507
ssp126,East Coast,2070,0.9556
ssp126,East Coast,2071,0.9639
ssp126,East Coast,2072,0.9368
ssp126,East Coast,2073,0.9585
ssp126,East Coast,2074,0.9421
ssp126,East Coast,2075,0.9291
ssp126,East Coast,2076,0.9458
ssp126,East Coast,2077,0.9794
ssp126,East Coast,2078,0.9901
ssp126,East Coast,2079,0.9609
ssp126,East Coast,2080,0.9259
ssp126,East Coast,2081,0.9341
